author,date,content
luciferzap7,"May 18, 2022, 3:17 pm ",idk
luciferzap7,"May 18, 2022, 3:37 pm ",welcome Drystol
Drystol,"May 19, 2022, 7:02 am ",Hai i still need to make a character
Drystol,"May 19, 2022, 7:02 am ",I would use my characters from past stuff but i dont feel like it
Drystol,"May 19, 2022, 8:42 am ",Wait a minute why does lucifer get to be admin but not me >:(
Drystol,"May 19, 2022, 8:42 am ",im joking of course
Araysh,"Edited: May 19, 2022, 8:43 am ",ok ok u can be one to
Drystol,"May 19, 2022, 8:43 am ",>7 Araysh:  Idk what that is and dont worry about it either way because like i get my chromebook taken up :(
Araysh,"May 19, 2022, 8:44 am ",same
luciferzap7,"Edited: May 22, 2022, 11:44 pm ",This message has been deleted by its author.
Araysh,"May 19, 2022, 10:05 am ",tommorow
Gracie_Freeman,"May 19, 2022, 10:06 am ",oof
Araysh,"May 19, 2022, 10:08 am ",yeah
Gracie_Freeman,"May 19, 2022, 10:10 am ",i text on the other gc
luciferzap7,"Edited: May 22, 2022, 11:44 pm ",This message has been deleted by its author.
Araysh,"May 19, 2022, 10:52 am ","me too, ur fun to talk to"
Gracie_Freeman,"May 19, 2022, 10:53 am ",>15 luciferzap7:  wdym?
Araysh,"May 19, 2022, 10:54 am ",oh he asked me a question and I denied it
luciferzap7,"Edited: May 22, 2022, 11:44 pm ",This message has been deleted by its author.
luciferzap7,"May 19, 2022, 10:54 am ",lmfao see ya
Araysh,"May 19, 2022, 10:55 am ",oh...ok bye
Gracie_Freeman,"May 19, 2022, 10:55 am ",bye be safe
luciferzap7,"May 19, 2022, 10:57 am ","ha if i could be safe. ima miss you guys, thank you for the past week, it was a good week to end on"
Araysh,"May 19, 2022, 10:57 am ",u too
cheesesticks,"May 20, 2022, 5:45 pm ",hi
Gracie_Freeman,"May 20, 2022, 5:51 pm ",Hey and welcome or welcome bk
cheesesticks,"May 20, 2022, 6:09 pm ",how are you
Gracie_Freeman,"May 21, 2022, 5:14 pm ",>27 cheesesticks:  im good waiting for araysh to come back and you
cheesesticks,"May 21, 2022, 8:39 pm ",thank you. and im okay
Drystol,"May 21, 2022, 10:16 pm ",Group admin has removed this message.
Gracie_Freeman,"May 22, 2022, 5:25 am ",>29 cheesesticks:  no
Gracie_Freeman,"May 22, 2022, 5:25 am ",No problem
cheesesticks,"May 22, 2022, 10:32 am ",thanks
Araysh,"May 23, 2022, 11:03 am ",eww no I'm les lol
cheesesticks,"May 23, 2022, 12:36 pm ",what
Araysh,"May 24, 2022, 10:45 am ",ummm... lesbian...-_-
cheesesticks,"May 24, 2022, 11:07 am ",oh lol
Araysh,"May 24, 2022, 11:11 am ",yeah... people have that reaction a lot
cheesesticks,"May 24, 2022, 12:36 pm ",sorry didnt mean to offend
Araysh,"May 25, 2022, 11:09 am ",it's fine
cheesesticks,"May 25, 2022, 12:02 pm ",:)
Gracie_Freeman,"May 28, 2022, 7:34 pm ",>41 cheesesticks:  Hi
cheesesticks,"May 29, 2022, 10:22 am ",how are you
Gracie_Freeman,"May 29, 2022, 10:02 pm ",>43 cheesesticks:  good and you
cheesesticks,"May 31, 2022, 1:57 pm ",im ok
luciferzap7,"May 31, 2022, 3:27 pm ",hey im back kinda
Drystol,"Jun 5, 2022, 12:49 pm ",">46 luciferzap7:  hello back, I’m Drystol, how are you doing?"
luciferzap7,"Jun 6, 2022, 10:20 am ",>47 Drystol:  noooo im back kinda not just back smh
Nishinoya_Yuu,"Jun 15, 2022, 3:37 pm ",hi
luciferzap7,"Jun 15, 2022, 10:06 pm ",>49 Nishinoya_Yuu:  hi
kito.hashira,"Jun 26, 2022, 10:30 pm ",...
luciferzap7,"Jun 27, 2022, 4:53 pm ",hey
Gracie_Freeman,"Aug 9, 2022, 8:51 pm ","Heyyyy I've returned lol,I see we have new people I think.how is everyone"
_luh_Baddie_bae,"Aug 19, 2022, 7:08 pm ",Hi
Gracie_Freeman,"Aug 19, 2022, 8:38 pm ",>54 _luh_Baddie_bae:  hey are you new?
_luh_Baddie_bae,"Aug 19, 2022, 9:08 pm ",>55 Gracie_Freeman:  Yup
Gracie_Freeman,"Aug 20, 2022, 12:20 am ","well welcome,youll meet drystol probably soon, Araysh on the other hand hasnt been here in a while"
Gracie_Freeman,"Aug 20, 2022, 12:20 am ",>38 Araysh:  i support
